156,Tyrese Maxey,PHI,SG
157,Tim Hardaway Jr.,DAL,"SG,SF"
158,Matisse Thybulle,PHI,SG
159,Tyler Herro,MIA,SG
160,James Wiseman,GSW,C
161,Derrick Rose,NYK,PG
162,Kentavious Caldwell-Pope,LAL,"SG,SF"
163,Donte DiVincenzo,MIL,SG
164,Enes Kanter,BOS,C
165,Brandon Clarke,MEM,PF
166,Terrence Ross,ORL,"SG,SF"
167,Jalen Brunson,DAL,PG
168,Dorian Finney-Smith,DAL,"SF,PF"
169,Moses Brown,DAL,C
170,Darius Bazley,OKC,PF
171,Luguentz Dort,OKC,SF
172,Facundo Campazzo,DEN,PG
173,Josh Hart,NOP,"SG,SF"
174,Isaac Okoro,CLE,"SG,SF"
175,Josh Giddey,OKC,"PG,SG"
176,John Wall,HOU,PG
177,Davis Bertans,WAS,"PF,C"
178,Danny Green,PHI,"SG,SF"
179,Delon Wright,DAL,"PG,SG"
180,Immanuel Quickley,NYK,"PG,SG"
181,Jamal Murray,DEN,PG
182,Victor Oladipo,MIA,"PG,SG"
183,Jae Crowder,PHO,"SF,PF"
184,Marvin Bagley III,SAC,PF
185,Daniel Theis,HOU,"PF,C"
186,Kenyon Martin Jr.,HOU,SF
187,Cole Anthony,ORL,"PG,SG"
188,Jordan Poole,GSW,"PG,SG"
189,Serge Ibaka,LAC,"PF,C"
190,Xavier Tillman,MEM,PF
191,Terance Mann,LAC,"SG,SF"
192,Cam Reddish,ATL,PG
193,Coby White,CHI,PG
194,Nicolas Batum,CHA,"SG,SF"
195,Markelle Fultz,ORL,"PG,SG"
196,Ricky Rubio,CLE,PG
197,Malachi Flynn,TOR,PG
198,Lonnie Walker IV,SAS,SG
199,Cameron Johnson,PHO,PF
200,Kevin Love,CLE,"PF,C"
201,Juan Toscano-Anderson,GSW,"SF,PF"
202,Jalen McDaniels,CHA,SF
203,Josh Richardson,BOS,"SG,SF"
204,Alec Burks,NYK,SG
205,Reggie Bullock,NYK,"SG,SF"
206,Goran Dragic,TOR,"PG,SG"
207,Blake Griffin,DET,"PF,C"
208,Thomas Bryant,WAS,C
209,Justin Holiday,IND,"SF,SG"
210,Doug McDermott,SAS,"SF,PF"
211,Otto Porter Jr.,GSW,"SF, PF"
212,Hassan Whiteside,UTH,C
213,Josh Jackson,DET,"SG,SF"
214,Naz Reid,MIN,C
215,Tomas Satoransky,NOR,"PG, SG"
216,Kendrick Nunn,MIA,PG
217,Goga Bitadze,IND,C
218,Luke Kennard,LAC,SG
219,Lou Williams,LAC,"PG,SG"
220,Theo Maledon,OKC,PG
221,Paul Millsap,DEN,"PF,C"
222,Carmelo Anthony,POR,"SF,PF"
223,LaMarcus Aldridge,SAS,"PF,C"
224,T.J. Warren,IND,"SF, PF"
225,Dario Saric,PHO,"PF,C,SF"
226,Dewayne Dedmon,N/A,C
227,Precious Achiuwa,TOR,PF
228,Dwight Howard,PHI,"PF,C"
229,Maxi Kleber,DAL,PF
230,Cody Zeller,CHA,"PF,C"
231,Obi Toppin,NYK,"SF,PF"
232,Hamidou Diallo,DET,"SG,SF"
233,Dwight Powell,DAL,"PF,C"
234,DeAndre Jordan,BKN,C
235,Rudy Gay,SAS,"SF,PF"
236,Derrick Jones Jr.,POR,SF
237,Elfrid Payton,NYK,PG
238,Nemanja Bjelica,SAC,PF
239,Marc Gasol,LAL,C
240,Moses Moody,GSW,"PG,SG"
241,Jonathan Kuminga,GSW,"SF,PF"
242,Ty Jerome,OKC,SG
243,Marquese Chriss,GSW,PF
244,Tristan Thompson,BOS,"PF,C"
245,Jeremy Lamb,IND,"SG,SF"
246,Troy Brown Jr.,WAS,SF
247,P.J. Tucker,HOU,"SF, PF"
248,Eric Gordon,HOU,SG
249,Patrick Beverley,LAC,"PG,SG"
250,Gary Harris,DEN,"SG,SF"
251,Jaxson Hayes,NOP,C
252,Justise Winslow,MEM,"SF,PF"
253,Danuel House Jr.,HOU,"SF,SF"
254,Zach Collins,POR,"PF, C"
255,Aron Baynes,TOR,"PF,C"
256,Jeff Teague,BOS,PG
257,Cheick Diallo,FA,"PF,C"
258,Kevon Looney,GSW,"PF,C"
259,DeMarcus Cousins,HOU,"PF,C"
