Name,Team,Pos,Age,Draft
Al-Farouq Aminu,CHI,SF-PF,30.8,2010 8
Lamar Stevens,CLE,SF,24.0,2020 20
Boban Marjanovic,DAL,C,32.9,2010 20
E'Twaun Moore,PHX,PG-SG,32.4,2011 55
Jordan Nwora,MIL,SF,22.8,2020 45
DaQuan Jeffries,SAS,PG,24.2,2019 20
Max Strus,MIA,SG,25.3,2019 20
Abdel Nader,PHX,SF-PF,27.8,2016 58
Ed Davis,MIN,PF-C,32.1,2010 13
Troy Brown Jr,CHI,SG-SF,21.9,2018 15
Brandon Goodwin,ATL,PG,25.8,2018 20
Kevin Knox,NYK,SF-PF,21.9,2018 9
Nicolo Melli,DAL,PF-C,30.4,2013 20
Alize Johnson,BKN,SF-PF,25.2,2018 50
Gary Clark,PHI,SF-PF,26.6,2018 20
Langston Galloway,PHX,PG-SG,29.6,2014 20
Miye Oni,UTA,SG,23.9,2019 58
Skylar Mays,ATL,PG-SG,23.8,2020 50
Zeke Nnaji,DEN,PF,20.5,2020 22
Harry Giles,POR,PF-C,23.2,2017 20
Nico Mannion,GSW,PG,20.3,2020 48
Tremont Waters,BOS,PG,23.5,2019 51
Thomas Bryant,WAS,C,23.9,2017 42
Chandler Hutchison,WAS,SF-PF,25.2,2018 22
Paul Reed,PHI,SF,22.1,2020 58
Jarrett Culver,MIN,PG-SG,22.4,2019 6
Shaq Harrison,DEN,PG-SG-SF,27.7,2013 20
Jahlil Okafor,DET,C,25.6,2015 3
Trent Forrest,UTA,SG,23.1,2020 20
Justin Patton,FA,C,24.1,2017 16
Ryan Arcidiacono,CHI,PG,27.3,2016 20
Darius Miller,FA,SG-SF,31.3,2012 46
Justise Winslow,MEM,PF,25.3,2015 10
Isaiah Joe,PHI,SG,22.0,2020 49
Anthony Lamb,HOU,SF,23.5,2020 20
Mfiondu Kabengele,CLE,C,23.9,2019 27
Tyler Cook,DET,PF-C,23.8,2019 20
Anthony Gill,WAS,SF,28.7,2016 20
Brodric Thomas,CLE,SG,23.2,2020 20
Isaac Bonga,WAS,SF-PF,21.7,2018 39
Wesley Iwundu,NOR,SG-SF,26.5,2017 33
Sam Merrill,MIL,SG,25.1,2020 60
Vlatko Cancar,DEN,SF-PF,24.2,2017 49
Josh Green,DAL,SG-SF,20.6,2020 18
Jaylen Hoard,OKC,SF,22.3,2019 20
Nathan Knight,ATL,PF-C,23.8,2020 20
Khyri Thomas,HOU,SG,25.2,2018 38
Paul Watson,TOR,PG-SF-PF,26.5,2017 20
Amir Coffey,LAC,SF,24.0,2019 20
JaKarr Sampson,IND,SF-PF,28.3,2014 20
Reggie Perry,BKN,PF,21.3,2020 57
KZ Okpala,MIA,SF,22.2,2019 32
Glenn Robinson III,FA,SG-SF,27.5,2014 40
Jabari Parker,BOS,SF-PF,26.3,2014 2
Mike James,BKN,PG,30.9,2012 20
Chris Chiozza,BKN,PG,25.6,2018 20
Donta Hall,ORL,SF,23.9,2019 20
Trey Lyles,SAS,PF-C,25.7,2015 12
Wenyen Gabriel,NOR,PF,24.3,2018 20
Frank Ntilikina,NYK,PG-SG,22.9,2017 8
Romeo Langford,BOS,SG,21.7,2019 14
Luka Samanic,SAS,PF,21.5,2019 19
Tre Jones,SAS,PG,21.5,2020 41
Ersan Ilyasova,UTA,SF-PF,34.1,2005 36
Jalen Harris,TOR,SG,22.9,2020 59
Carsen Edwards,BOS,PG,23.3,2019 33
Rodney McGruder,DET,SG-SF,30.0,2013 20
Keita Bates-Diop,SAS,SF-PF,25.4,2018 48
Matt Thomas,UTA,PG-SG,26.9,2017 20
