player_id,first_name,last_name,birth_year,draft_year,draft_pick
190,Steven,Adams,1994,2013,12
191,John,Wall,1991,2010,1
192,Monte,Morris,1996,2017,51
193,JaMychal,Green,1991,2013,20
194,Jaden,McDaniels,2001,2020,28
195,Immanuel,Quickley,2000,2020,25
196,Bryn,Forbes,1994,2016,20
197,Maxi,Kleber,1992,2014,20
198,Taj,Gibson,1986,2009,26
199,Alex,Caruso,1994,2016,20
200,Xavier,Tillman,1999,2020,35
201,Isaac,Okoro,2001,2020,5
202,Theo,Maledon,2001,2020,34
203,Serge,Ibaka,1990,2008,24
204,Josh,Hart,1995,2017,30
205,Luke,Kennard,1997,2017,12
206,Payton,Pritchard,1998,2020,26
207,Malik,Beasley,1997,2016,19
208,Landry,Shamet,1997,2018,26
209,Alex,Len,1993,2013,5
210,Jaxson,Hayes,2000,2019,8
211,Patrick,Beverley,1989,2009,42
212,Dwight,Powell,1992,2014,45
213,Cedi,Osman,1995,2015,31
214,Svi,Mykhailiuk,1997,2018,47
215,Derrick,White,1995,2017,29
216,Terence,Davis,1997,2019,20
217,Larry,Nance Jr.,1993,2015,27
218,Tristan,Thompson,1991,2011,4
219,Cole,Anthony,2000,2020,15
220,Jordan,Poole,2000,2019,28
221,Garrett,Temple,1986,2009,20
222,Furkan,Korkmaz,1998,2016,26
223,Derrick,Jones,1997,2016,20
224,Sterling,Brown,1995,2017,46
225,Cody,Zeller,1993,2013,4
226,Kenyon,Martin Jr.,2001,2020,52
227,Georges,Niang,1994,2016,50
228,P.J.,Tucker,1985,2006,35
229,Victor,Oladipo,1992,2013,2
230,Lonnie,Walker,1999,2018,18
231,Darius,Bazley,2000,2019,23
232,Torrey,Craig,1990,2014,20
233,Luguentz,Dort,1999,2019,20
234,Nickeil,Alexander-Walker,1999,2019,17
235,Damion,Lee,1993,2016,20
236,DeMarcus,Cousins,1991,2010,5
237,Rajon,Rondo,1986,2006,21
238,Dwayne,Bacon,1996,2017,40
239,Dario,Saric,1994,2014,12
240,Dean,Wade,1997,2019,20
241,Anfernee,Simons,1999,2018,24
242,Bismack,Biyombo,1993,2011,7
243,Chuma,Okeke,1999,2020,16
244,Elfrid,Payton,1994,2014,10
245,Mo,Bamba,1998,2018,6
246,Moses,Brown,2000,2019,20
247,Jeremy,Lamb,1992,2012,12
248,Tyrese,Maxey,2001,2020,21
249,Kevon,Looney,1996,2015,30
250,Willie,Cauley-Stein,1994,2015,6
251,Al,Horford,1986,2007,3
252,D.J.,Augustin,1988,2008,9
253,Mitchell,Robinson,1998,2018,36
254,James,Johnson,1987,2009,16
255,JaVale,McGee,1988,2008,18
256,Aaron,Holiday,1997,2018,23
257,DeAndre',Bembry,1995,2016,21
258,Drew,Eubanks,1997,2018,20
259,Josh,Okogie,1999,2018,20
260,Stanley,Johnson,1996,2015,8
261,Ish,Smith,1989,2010,20
262,Hamidou,Diallo,1999,2018,45
263,Solomon,Hill,1991,2013,23
264,Jeff,Teague,1988,2009,19
265,Devin,Vassell,2001,2020,11
